lp,sygna³1,sygna³2,sygna³3,sygna³4,liczby
0,-1.6300876541101941,-0.85808446305010277,-0.85648191601757384,-0.8544810696642412,0
1,-1.645933609248643,-0.85159760697560682,-0.85511872256749955,-0.84329315963434504,0
2,-1.6577741317807009,-0.83434731949009922,-0.83506351028760051,-0.82266574269639015,0
3,-1.6662524844592148,-0.82655897831100555,-0.83338616526055442,-0.82414674298782886,0
4,-1.6529328315855814,-0.8541631781875435,-0.85948692544729854,-0.85283925368459079,0
5,-1.6706898754839423,-0.84276209387327361,-0.85065515224469124,-0.83494196354651018,0
6,-1.6833943148526727,-0.82545196799215237,-0.8354468500095007,-0.83123759286805055,0
7,-1.6881888663012192,-0.82432812812453282,-0.82820453419038187,-0.82846819712105468,0
8,-1.6907993163098662,-0.85964400123578444,-0.8556179991809012,-0.84863747634259235,0
9,-1.713702462231004,-0.87914009850666808,-0.8758545965975042,-0.86391122682298538,0
10,-1.7108171295925068,-0.83557961644976853,-0.84110531829471968,-0.83370592668711507,0
11,-1.7056953369179477,-0.83760290220145628,-0.84185329823989075,-0.83573295233852862,1
12,-1.707008041721723,-0.8708281713659547,-0.87387805959238973,-0.86780259248773783,1
13,-1.7115744592869924,-0.86293885289426298,-0.86574938753824326,-0.86034710238424528,1
14,-1.7113220160554972,-0.85599572905321264,-0.85981229672344794,-0.85510937281818489,1
15,-1.7216553589980352,-0.84813258987960183,-0.8486505659916328,-0.84659923099200118,1
16,-1.709281900755043,-0.88265934414869796,-0.88490889383379989,-0.86762868715048547,1
17,-1.714659876560823,-0.89490377585114822,-0.88959872809002249,-0.8866161580586529,1
18,-1.7147945129509539,-0.84686663382239979,-0.85556003073515052,-0.85439131207082064,1
19,-1.6908460650564394,-0.85611914574416581,-0.86019376649548518,-0.85167427491998682,1
20,-1.6881963461006708,-0.88877221025060849,-0.8879101633637988,-0.88050890180633112,1
21,-1.6844807557230337,-0.87553483517094366,-0.87672973313335434,-0.87475132617837692,1
22,-1.6710115068603657,-0.84142507972128033,-0.85361528287770572,-0.85464001540259005,1
23,-1.6575011191007134,-0.83886885825865831,-0.84232639555521149,-0.83419959345092798,1
24,-1.6411072686524268,-0.89411091710926693,-0.89373131728709254,-0.88530906310446644,1
25,-1.6444843981048742,-0.87481864437344237,-0.87580410795120522,-0.87599110293749793,1
26,-1.6546419657602971,-0.83694654979956862,-0.84361292106090568,-0.83351893170082225,1
27,-1.6380835597240728,-0.83894739615290126,-0.84059669193200337,-0.82516960556285035,1
28,-1.6506608425021241,-0.87899050251763389,-0.87656704749527969,-0.87295804425982937,1
29,-1.6490433358706917,-0.88654509996386166,-0.88458165260778754,-0.88172062931750828,1
30,-1.6333787658689469,-0.83311502253042991,-0.83997399862764854,-0.8311702746729851,1
31,-1.6205565196588518,-0.81869209923766895,-0.81698296506295309,-0.80940966811809612,1
32,-1.6096117031111363,-0.85444928051657143,-0.85843601362433319,-0.84776981960619391,1
33,-1.6056380596524151,-0.84518741884549076,-0.84765575266455528,-0.83782355628528171,1
34,-1.6077959817942336,-0.83151247549790086,-0.83281396060249857,-0.82722655041207072,1
35,-1.6052921189277736,-0.81682775922433004,-0.81851445400069078,-0.80824094945376634,1
36,-1.6089647004585634,-0.86191973021896739,-0.86810552436553212,-0.85139191249068469,1
37,-1.6067450699712684,-0.85388829555769319,-0.86191038046965274,-0.84957245127405612,1
